Transcript_6,gi|254675196|ref|NM_013643.2|,Transcript_6,NM_013643.2,100.000,2989,0,0,1,2989,146,3134,0.0,5391
Transcript_6,gi|915381|gb|U28217.1|MMU28217,Transcript_6,U28217.1,99.933,2985,2,0,1,2985,157,3141,0.0,5375
Transcript_6,gi|1039777633|ref|XM_006540715.3|,Transcript_6,XM_006540715.3,100.000,2707,0,0,283,2989,874,3580,0.0,4883
Transcript_6,gi|1039777633|ref|XM_006540715.3|,Transcript_6,XM_006540715.3,100.000,284,0,0,1,284,159,442,2.48e-142,513
Transcript_6,gi|1039777631|ref|XM_017322046.1|,Transcript_6,XM_017322046.1,100.000,2707,0,0,283,2989,879,3585,0.0,4883
Transcript_6,gi|1039777630|ref|XM_006540714.3|,Transcript_6,XM_006540714.3,100.000,2706,0,0,284,2989,824,3529,0.0,4881
Transcript_6,gi|1039777630|ref|XM_006540714.3|,Transcript_6,XM_006540714.3,100.000,284,0,0,1,284,159,442,2.48e-142,513
Transcript_6,gi|1039777629|ref|XM_006540713.3|,Transcript_6,XM_006540713.3,100.000,2706,0,0,284,2989,1140,3845,0.0,4881
Transcript_6,gi|1039777629|ref|XM_006540713.3|,Transcript_6,XM_006540713.3,100.000,284,0,0,1,284,159,442,2.48e-142,513
Transcript_6,gi|254675198|ref|NM_001163565.1|,Transcript_6,NM_001163565.1,100.000,2706,0,0,284,2989,321,3026,0.0,4881
Transcript_6,gi|30354338|gb|BC051975.1|,Transcript_6,BC051975.1,100.000,2706,0,0,284,2989,70,2775,0.0,4881
Transcript_6,gi|50925367|gb|BC079592.1|,Transcript_6,BC079592.1,99.926,2706,2,0,284,2989,401,3106,0.0,4872
Transcript_6,gi|26332550|dbj|AK038416.1|,Transcript_6,AK038416.1,99.926,2699,2,0,284,2982,98,2796,0.0,4859
Transcript_6,gi|34980931|gb|BC057339.1|,Transcript_6,BC057339.1,99.918,2438,1,1,552,2989,859,3295,0.0,4385
Transcript_6,gi|34980931|gb|BC057339.1|,Transcript_6,BC057339.1,100.000,272,0,0,284,555,49,320,8.12e-136,491
Transcript_6,gi|915379|gb|U28216.1|MMU28216,Transcript_6,U28216.1,100.000,1243,0,0,103,1345,1,1243,0.0,2242
Transcript_6,gi|915379|gb|U28216.1|MMU28216,Transcript_6,U28216.1,100.000,139,0,0,1344,1482,1429,1567,1.29e-63,251
Transcript_6,gi|354796188|gb|JN960689.1|,Transcript_6,JN960689.1,99.911,1127,1,0,1863,2989,34381,35507,0.0,2028
Transcript_6,gi|354796188|gb|JN960689.1|,Transcript_6,JN960689.1,99.203,251,2,0,740,990,23323,23573,1.06e-121,444
Transcript_6,gi|354796188|gb|JN960689.1|,Transcript_6,JN960689.1,100.000,195,0,0,361,555,14716,14910,5.13e-94,352
Transcript_6,gi|354796188|gb|JN960689.1|,Transcript_6,JN960689.1,100.000,193,0,0,988,1180,24624,24816,6.25e-93,349
Transcript_6,gi|354796188|gb|JN960689.1|,Transcript_6,JN960689.1,100.000,162,0,0,1593,1754,33697,33858,4.22e-76,293
Transcript_6,gi|354796188|gb|JN960689.1|,Transcript_6,JN960689.1,100.000,139,0,0,1344,1482,30406,30544,1.29e-63,251
Transcript_6,gi|354796188|gb|JN960689.1|,Transcript_6,JN960689.1,100.000,118,0,0,1752,1869,33943,34060,3.25e-52,214
Transcript_6,gi|354796188|gb|JN960689.1|,Transcript_6,JN960689.1,100.000,113,0,0,1481,1593,31330,31442,1.68e-49,205
Transcript_6,gi|354796188|gb|JN960689.1|,Transcript_6,JN960689.1,99.115,113,1,0,552,664,22511,22623,7.15e-48,199
Transcript_6,gi|354796188|gb|JN960689.1|,Transcript_6,JN960689.1,100.000,87,0,0,663,749,22844,22930,2.19e-35,158
Transcript_6,gi|354796188|gb|JN960689.1|,Transcript_6,JN960689.1,97.802,91,2,0,1174,1264,27174,27264,7.64e-35,156
Transcript_6,gi|354796188|gb|JN960689.1|,Transcript_6,JN960689.1,100.000,81,0,0,1265,1345,30140,30220,3.96e-32,147
Transcript_6,gi|77993517|gb|AC115898.22|,Transcript_6,AC115898.22,99.911,1127,1,0,1863,2989,13269,12143,0.0,2028
Transcript_6,gi|77993517|gb|AC115898.22|,Transcript_6,AC115898.22,100.000,285,0,0,1,285,67884,67600,7.12e-143,515
Transcript_6,gi|77993517|gb|AC115898.22|,Transcript_6,AC115898.22,99.203,251,2,0,740,990,24371,24121,1.06e-121,444
Transcript_6,gi|77993517|gb|AC115898.22|,Transcript_6,AC115898.22,100.000,195,0,0,361,555,25916,25722,5.13e-94,352
Transcript_6,gi|77993517|gb|AC115898.22|,Transcript_6,AC115898.22,100.000,193,0,0,988,1180,23026,22834,6.25e-93,349
