Transcript_2,gi|142366209|ref|NM_080852.2|,Transcript_2,NM_080852.2,100.000,1752,0,0,1,1752,3,1754,0.0,3160
Transcript_2,gi|18148437|dbj|AB055005.1|,Transcript_2,AB055005.1,100.000,1752,0,0,1,1752,8,1759,0.0,3160
Transcript_2,gi|20146070|emb|AJ417663.1|,Transcript_2,AJ417663.1,99.938,1607,1,0,37,1643,1,1607,0.0,2893
Transcript_2,gi|148922460|gb|BC146476.1|,Transcript_2,BC146476.1,100.000,1401,0,0,106,1506,32,1432,0.0,2527
Transcript_2,gi|147897846|gb|BC140320.1|,Transcript_2,BC140320.1,100.000,1399,0,0,106,1504,32,1430,0.0,2524
Transcript_2,gi|26102874|dbj|AK085644.1|,Transcript_2,AK085644.1,100.000,761,0,0,10,770,1,761,0.0,1373
Transcript_2,gi|77020635|gb|AC163676.4|,Transcript_2,AC163676.4,100.000,760,0,0,11,770,218446,219205,0.0,1371
Transcript_2,gi|77020635|gb|AC163676.4|,Transcript_2,AC163676.4,80.205,682,129,1,95,770,100943,101624,1.91e-175,623
Transcript_2,gi|77020635|gb|AC163676.4|,Transcript_2,AC163676.4,97.761,134,3,0,439,572,68004,68137,1.47e-56,228
Transcript_2,gi|77020635|gb|AC163676.4|,Transcript_2,AC163676.4,76.364,220,52,0,1262,1481,115087,115306,5.15e-37,163
Transcript_2,gi|77020635|gb|AC163676.4|,Transcript_2,AC163676.4,70.321,374,105,5,895,1265,110654,111024,2.19e-35,158
Transcript_2,gi|50284602|gb|AC131593.16|,Transcript_2,AC131593.16,100.000,760,0,0,11,770,113089,113848,0.0,1371
Transcript_2,gi|50284602|gb|AC131593.16|,Transcript_2,AC131593.16,99.383,486,3,0,1262,1747,137733,138218,0.0,863
Transcript_2,gi|50284602|gb|AC131593.16|,Transcript_2,AC131593.16,100.000,366,0,0,900,1265,131437,131802,0.0,661
Transcript_2,gi|50284602|gb|AC131593.16|,Transcript_2,AC131593.16,100.000,134,0,0,768,901,129614,129747,6.69e-61,242
Transcript_2,gi|50284602|gb|AC131593.16|,Transcript_2,AC131593.16,76.364,220,52,0,1262,1481,9729,9948,5.15e-37,163
Transcript_2,gi|50284602|gb|AC131593.16|,Transcript_2,AC131593.16,70.321,374,105,5,895,1265,5296,5666,2.19e-35,158
Transcript_2,gi|56236238|gb|AC140350.3|,Transcript_2,AC140350.3,100.000,760,0,0,11,770,150798,150039,0.0,1371
Transcript_2,gi|56236238|gb|AC140350.3|,Transcript_2,AC140350.3,99.383,486,3,0,1262,1747,126154,125669,0.0,863
Transcript_2,gi|56236238|gb|AC140350.3|,Transcript_2,AC140350.3,100.000,366,0,0,900,1265,132450,132085,0.0,661
Transcript_2,gi|56236238|gb|AC140350.3|,Transcript_2,AC140350.3,100.000,134,0,0,768,901,134273,134140,6.69e-61,242
Transcript_2,gi|568920562|ref|XM_006530052.1|,Transcript_2,XM_006530052.1,100.000,759,0,0,11,769,9,767,0.0,1370
Transcript_2,gi|568920562|ref|XM_006530052.1|,Transcript_2,XM_006530052.1,100.000,755,0,0,899,1653,765,1519,0.0,1362
Transcript_2,gi|354797940|gb|JN962441.1|,Transcript_2,JN962441.1,99.383,486,3,0,1262,1747,30651,31136,0.0,863
Transcript_2,gi|354797940|gb|JN962441.1|,Transcript_2,JN962441.1,100.000,366,0,0,900,1265,24355,24720,0.0,661
Transcript_2,gi|354797940|gb|JN962441.1|,Transcript_2,JN962441.1,100.000,134,0,0,768,901,22532,22665,6.69e-61,242
Transcript_2,gi|354794049|gb|JN958550.1|,Transcript_2,JN958550.1,99.383,486,3,0,1262,1747,30664,31149,0.0,863
Transcript_2,gi|354794049|gb|JN958550.1|,Transcript_2,JN958550.1,100.000,366,0,0,900,1265,24355,24720,0.0,661
Transcript_2,gi|354794049|gb|JN958550.1|,Transcript_2,JN958550.1,100.000,134,0,0,768,901,22532,22665,6.69e-61,242
Transcript_2,gi|392293035|ref|NR_033591.2|,Transcript_2,NR_033591.2,75.678,1180,274,7,95,1265,80,1255,0.0,814
Transcript_2,gi|74150839|dbj|AK143764.1|,Transcript_2,AK143764.1,75.678,1180,274,7,95,1265,83,1258,0.0,814
Transcript_2,gi|41151936|gb|AC138548.8|,Transcript_2,AC138548.8,80.205,682,129,1,95,770,83579,82898,1.91e-175,623
Transcript_2,gi|41151936|gb|AC138548.8|,Transcript_2,AC138548.8,97.761,134,3,0,439,572,116518,116385,1.47e-56,228
Transcript_2,gi|41151936|gb|AC138548.8|,Transcript_2,AC138548.8,76.364,220,52,0,1262,1481,69435,69216,5.15e-37,163
Transcript_2,gi|41151936|gb|AC138548.8|,Transcript_2,AC138548.8,70.321,374,105,5,895,1265,73868,73498,2.19e-35,158
Transcript_2,gi|229892221|ref|NM_028746.3|,Transcript_2,NM_028746.3,64.487,780,249,14,176,938,167,935,5.50e-24,120
Transcript_2,gi|15928400|gb|BC014684.1|,Transcript_2,BC014684.1,64.487,780,249,14,176,938,140,908,5.50e-24,120
Transcript_2,gi|34536558|dbj|AK128901.1|,Transcript_2,AK128901.1,64.487,780,249,14,176,938,167,935,5.50e-24,120
Transcript_2,gi|74222603|dbj|AK165403.1|,Transcript_2,AK165403.1,64.487,780,249,14,176,938,168,936,5.50e-24,120
Transcript_2,gi|74150845|dbj|AK143768.1|,Transcript_2,AK143768.1,64.487,780,249,14,176,938,169,937,5.50e-24,120
Transcript_2,gi|21322753|dbj|AB072352.1|,Transcript_2,AB072352.1,64.487,780,249,14,176,938,150,918,5.50e-24,120
Transcript_2,gi|20146068|emb|AJ417662.1|,Transcript_2,AJ417662.1,64.231,780,251,14,176,938,116,884,2.85e-21,111
Transcript_2,gi|354797464|gb|JN961965.1|,Transcript_2,JN961965.1,80.263,76,15,0,829,904,110,185,8.72e-09,69.8
